AgentName ,WinRate ,MarginError ,numTurns ,victoryPoints ,numRoadsBuilt ,devCardsBought ,usedDevCards                        ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                  ,totalResourcesFromDevCard ,resourcesFromBankTrade                ,finalResourceProduction                ,finalTradeRates                          ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity  ,noCitysBuilt ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades ,badCityBankTrades ,goodRoadBankTrades ,badRoadBankTrades ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades ,acceptedTrades ,rejectedTrades ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player0   , 0.6865 ,       2.03 , 63.347  ,       8.951  ,      13.614  ,        6.896  ,"[3.735, 0.425, 0.542, 0.527, 0.0]" ,          1.939  ,     1.5915 ,   1.4145 ,     0.478  ,     0.512  ,"[33.054, 42.541, 38.106, 52.687, 44.292]" ,                        3.326 ,                48.5795 ,             12.0325 ,"[0.931, 0.558, 0.413, 0.376, 0.255]" ,                    2.533 ,"[7.937, 7.518, 7.497, 6.887, 7.242]" ,"[7.548, 9.605, 8.556, 11.771, 9.748]" ,"[3.6225, 3.631, 3.623, 3.624, 3.626]"   ,"[3.596, 4.258, 3.902, 5.391, 4.644]" ,                      21.791 ,"[3.994, 3.995, 3.995, 3.994, 3.994]" ,                3.893  ,     32.09554907716233  ,            0.19   ,22.6838818075898   ,      0.21   ,      7.694730999444947  ,                     37.081 ,                  2.3335 ,                 0.6125 ,            0.5545 ,           1.5465 ,           10.6955 ,           0.2415 ,               3.2695 ,              2.272  ,          17.5925 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1   , 0.099  ,       1.31 , 62.9105 ,       4.832  ,       9.7755 ,        4.019  ,"[2.131, 0.291, 0.323, 0.317, 0.0]" ,          0.7435 ,     0.5745 ,   0.837  ,     0.1455 ,     0.161  ,"[16.855, 18.314, 23.334, 24.125, 23.287]" ,                        1.684 ,                16.8925 ,              8.4245 ,"[0.566, 0.359, 0.285, 0.209, 0.175]" ,                    1.594 ,"[4.998, 4.936, 4.519, 4.596, 4.676]" ,"[3.143, 3.473, 4.258, 4.442, 4.352]"  ,"[3.449, 3.4515, 3.413, 3.4465, 3.4255]" ,"[2.064, 2.031, 2.768, 2.679, 2.78]"  ,                      12.322 ,"[3.577, 3.578, 3.553, 3.587, 3.558]" ,                2.897  ,     15.903565285543445 ,            0.637  ,12.275955926797412 ,      0.6445 ,      2.9999554858222344 ,                     23.725 ,                  0.785  ,                 0.2395 ,            0.216  ,           0.589  ,            4.8745 ,           0.268  ,               1.7475 ,              1.343  ,          14.464  ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player2   , 0.113  ,       2.03 , 63.058  ,       4.816  ,       9.746  ,        3.875  ,"[2.127, 0.254, 0.306, 0.302, 0.0]" ,          0.7905 ,     0.554  ,   0.7755 ,     0.15   ,     0.1685 ,"[16.701, 18.718, 23.213, 22.954, 23.695]" ,                        1.67  ,                16.7155 ,              8.3545 ,"[0.581, 0.347, 0.229, 0.196, 0.168]" ,                    1.521 ,"[5.023, 4.809, 4.532, 4.606, 4.705]" ,"[3.176, 3.671, 4.224, 4.537, 4.362]"  ,"[3.4335, 3.433, 3.435, 3.415, 3.4425]"  ,"[2.026, 1.998, 2.781, 2.671, 2.797]" ,                      12.273 ,"[3.562, 3.564, 3.561, 3.555, 3.563]" ,                2.9055 ,     17.76345338018772  ,            0.614  ,11.387806374280602 ,      0.6685 ,      3.197981780406585  ,                     23.675 ,                  0.839  ,                 0.2365 ,            0.188  ,           0.597  ,            4.917  ,           0.2545 ,               1.788  ,              1.376  ,          14.584  ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player3   , 0.1015 ,       1.31 , 63.189  ,       4.7555 ,       9.7675 ,        3.9465 ,"[2.121, 0.31, 0.279, 0.317, 0.0]"  ,          0.7505 ,     0.5505 ,   0.7885 ,     0.148  ,     0.1565 ,"[16.901, 18.159, 22.162, 24.14, 22.567]"  ,                        1.645 ,                16.038  ,              8.3365 ,"[0.556, 0.327, 0.263, 0.191, 0.225]" ,                    1.562 ,"[5.019, 4.896, 4.486, 4.577, 4.712]" ,"[3.102, 3.484, 4.136, 4.5, 4.343]"    ,"[3.434, 3.421, 3.4335, 3.4775, 3.427]"  ,"[2.041, 2.008, 2.726, 2.72, 2.8]"    ,                      12.295 ,"[3.558, 3.554, 3.562, 3.592, 3.566]" ,                2.893  ,     17.065371325624742 ,            0.6295 ,11.421300437720651 ,      0.6655 ,      3.1309854776790993 ,                     23.69  ,                  0.7885 ,                 0.2405 ,            0.2    ,           0.579  ,            4.787  ,           0.272  ,               1.763  ,              1.3785 ,          14.6585 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
