AgentName                 ,WinRate ,numTurns ,victoryPoints ,finalTradeRates                            ,numRoadsBuilt ,devCardsBought ,usedDevCards                           ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                               ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                       ,totalResourcesFromDevCard ,resourcesFromBankTrade                     ,totalResourcesFromBankTrade ,finalResourceProduction                       ,setupResourceProduction                   ,totalSetupResourceProduction ,setupTradeRates
NoSetupDenseRewardEnv-20M , 0.9645 , 35.2227 ,      10.2966 ,"[3.5311, 3.5368, 3.5351, 3.5515, 3.5314]" ,      12.5096 ,        5.4024 ,"[3.002, 0.3232, 0.4175, 0.4106, 0.0]" ,          2.5544 ,     1.7841 ,   1.0672 ,     0.7675 ,     0.7993 ,"[22.6356, 26.6787, 14.3508, 29.3332, 25.1451]" ,                        3.354 ,                14.1956 ,              6.5957 ,"[0.4187, 0.8916, 0.2666, 0.3585, 0.0001]" ,                    1.935 ,"[3.9255, 2.6766, 4.5136, 3.6962, 3.8117]" ,                     18.624 ,"[9.4353, 11.9684, 7.0702, 13.0793, 10.6046]" ,"[4.2954, 5.0808, 2.403, 5.4883, 4.5982]" ,                          22 ,"[3.9982, 3.998, 3.998, 3.9984, 3.9978]"
AgentRandom               , 0.0124 , 34.9926 ,       3.1769 ,"[3.5125, 3.5071, 3.507, 3.508, 3.5075]"   ,       6.7696 ,        2.0967 ,"[1.0858, 0.1423, 0.1616, 0.164, 0.0]" ,          1.9628 ,     0.2773 ,   0.4359 ,     0.0408 ,     0.056  ,"[8.1383, 8.6862, 11.7916, 11.7601, 11.3294]"   ,                        1.478 ,                 6.5782 ,              4.7599 ,"[0.2919, 0.1883, 0.1227, 0.1147, 0.0846]" ,                    0.802 ,"[2.3527, 2.2554, 2.0268, 2.075, 2.1867]"  ,                     10.897 ,"[2.2782, 2.5785, 3.3576, 3.3532, 3.1936]"    ,"[1.9407, 1.9436, 2.87, 2.6817, 2.7122]"  ,                          12 ,"[3.5517, 3.5466, 3.5487, 3.5483, 3.5496]"
