AgentName,WinRate,MarginError,numTurns,victoryPoints,finalTradeRates,numRoadsBuilt,devCardsBought,usedDevCards,settlementsBuilt,citiesBuilt,devCardVP,largestArmy,longestRoad,resourcesReceived,totalResourcesReceivedPerTurn,totalResourcesDiscarded,totalResourcesStolen,resourcesFromDevCard,totalResourcesFromDevCard,resourcesFromBankTrade,totalResourcesFromBankTrade,finalResourceProduction,setupResourceProduction,totalSetupResourceProduction,setupTradeRates,setupResourceDiversity
Player0,0.675,2.9,65.107,8.93,"[3.473, 3.526, 3.512, 3.507, 3.507]",13.753,5.413,"[2.899, 0.29, 0.416, 0.461, 0.0]",2.711,1.546,1.135,0.453,0.535,"[36.275, 39.467, 51.496, 52.768, 50.673]",3.543,55.461,12.236,"[0.748, 0.482, 0.356, 0.301, 0.182]",2.069,"[9.158, 9.175, 8.366, 8.367, 8.64]",43.706,"[8.367, 9.177, 10.428, 11.362, 10.799]","[3.847, 3.899, 5.102, 5.137, 5.206]",23,"[3.993, 3.997, 3.991, 3.997, 3.995]",3.849
Player1,0.114,1.97,64.676,4.801,"[3.43, 3.429, 3.455, 3.427, 3.428]",9.629,3.828,"[2.068, 0.269, 0.325, 0.285, 0.0]",2.159,0.586,0.76,0.153,0.177,"[15.901, 20.289, 23.401, 23.791, 23.497]",1.653,16.595,8.191,"[0.56, 0.385, 0.225, 0.184, 0.152]",1.506,"[5.324, 5.063, 4.691, 4.829, 4.956]",24.863,"[2.95, 3.824, 4.229, 4.401, 4.243]","[1.884, 2.147, 2.815, 2.644, 2.727]",12,"[3.548, 3.544, 3.567, 3.545, 3.548]",2.867
