AgentName          ,WinRate ,MarginError ,numTurns          ,victoryPoints     ,numRoadsBuilt      ,devCardsBought    ,usedDevCards                        ,settlementsBuilt   ,citiesBuilt        ,devCardVP          ,largestArmy         ,longestRoad         ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                 ,totalResourcesFromDevCard ,resourcesFromBankTrade                ,finalResourceProduction                 ,finalTradeRates                                                                                   ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity  ,noCitysBuilt        ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades  ,badCityBankTrades   ,goodRoadBankTrades ,badRoadBankTrades   ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades ,acceptedTrades ,rejectedTrades ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player0            ,0.871   ,1.47        ,45.0755           ,9.7045            ,12.355             ,7.608             ,"[4.112, 0.494, 0.584, 0.564, 0.0]" ,2.1175             ,1.4295             ,1.5695             ,0.635               ,0.6535              ,"[22.311, 22.085, 29.023, 28.483, 30.49]"  ,                        2.937 ,     17.326             ,   9.403             ,"[0.89, 1.405, 0.395, 0.0, 0.043]"   ,                    2.733 ,"[5.469, 4.314, 2.738, 4.143, 2.985]" ,"[7.856, 8.35, 10.057, 10.714, 10.536]" ,"[3.8835, 3.877, 3.8705, 3.888, 3.88]"                                                            ,"[3.241, 3.17, 4.236, 4.147, 4.332]"  ,                      19.126 ,"[3.999, 3.999, 3.998, 3.999, 3.999]" ,      3.8475           ,     22.033178775064467 ,0.107              ,20.910775905501456 ,0.2655              ,       5.180277144827248 ,                     19.649 ,       0.964             ,    0.1045              ,0.2345              ,0.103               , 4.9675            ,0.2975              ,    1.752             ,  0.442              , 11.3485          ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player0LossesStats ,-1.0    ,-1.0        ,60.96124031007752 ,6.383720930232558 ,11.825581395348838 ,5.686046511627907 ,"[3.345, 0.353, 0.492, 0.391, 0.0]" ,1.3604651162790697 ,0.9534883720930233 ,0.8992248062015504 ,0.32558139534883723 ,0.21705426356589147 ,"[24.938, 22.372, 35.341, 31.581, 40.337]" ,                        2.536 ,     24.058139534883722 ,  12.682170542635658 ,"[0.988, 0.76, 0.213, 0.0, 0.14]"    ,                    2.101 ,"[6.434, 6.717, 3.616, 6.318, 4.512]" ,"[5.403, 5.314, 7.581, 6.713, 8.872]"   ,"[3.852713178294574, 3.856589147286822, 3.86046511627907, 3.856589147286822, 3.9224806201550386]" ,"[2.818, 2.674, 4.388, 3.55, 4.566]"  ,                      17.996 ,"[4.0, 4.0, 4.0, 4.0, 4.0]"           ,      3.37984496124031 ,     24.50988356349851  ,0.3488372093023256 ,20.12154596351815  ,0.46511627906976744 ,       4.859283328820291 ,                     27.597 ,       0.813953488372093 ,    0.09689922480620156 ,0.26356589147286824 ,0.05813953488372093 , 7.282945736434108 ,0.29844961240310075 ,    2.251937984496124 ,  1.0232558139534884 , 15.7984496124031 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1            ,0.045   ,0.91        ,44.4725           ,3.832             , 8.05              ,2.862             ,"[1.51, 0.208, 0.222, 0.222, 0.0]"  ,0.427              ,0.3775             ,0.5815             ,0.086               ,0.104               ,"[11.399, 12.088, 15.739, 16.323, 15.639]" ,                        1.601 ,      9.9015            ,   6.4105            ,"[0.38, 0.247, 0.186, 0.126, 0.095]" ,                    1.034 ,"[3.275, 3.046, 2.86, 2.889, 3.054]"  ,"[2.741, 3.083, 3.661, 3.902, 3.689]"   ,"[3.4725, 3.4785, 3.4645, 3.493, 3.4605]"                                                         ,"[2.056, 2.064, 2.848, 2.751, 2.798]" ,                      12.517 ,"[3.557, 3.556, 3.545, 3.577, 3.547]" ,      2.908            ,      8.318181704501972 ,0.765              , 6.269852762249034 ,0.7505              ,       1.845705982538321 ,                     15.124 ,       0.428             ,    0.1425              ,0.113               ,0.396               , 2.8455            ,0.1905              ,    1.0645            ,  0.834              ,  9.744           ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
