AgentName          ,WinRate ,MarginError ,numTurns          ,victoryPoints      ,numRoadsBuilt      ,devCardsBought    ,usedDevCards                        ,settlementsBuilt   ,citiesBuilt ,devCardVP          ,largestArmy        ,longestRoad         ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                  ,totalResourcesFromDevCard ,resourcesFromBankTrade                  ,finalResourceProduction                 ,finalTradeRates                                                                                   ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity   ,noCitysBuilt        ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades  ,badCityBankTrades   ,goodRoadBankTrades ,badRoadBankTrades  ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades ,acceptedTrades     ,rejectedTrades     ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades  ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player0            ,0.955   ,0.91        ,27.137            ,10.082             ,10.4785            ,5.4915            ,"[3.075, 0.41, 0.412, 0.419, 0.0]"  ,2.461              ,     1.5125 ,1.086              ,0.8865             ,0.8595              ,"[13.066, 14.238, 18.449, 19.749, 18.19]"  ,                        3.084 ,      11.4605           ,   5.0695            ,"[0.825, 0.0, 0.0, 1.048, 0.0]"       ,                    1.873 ,"[3.042, 1.114, 3.227, 1.03, 1.923]"    ,"[7.523, 8.93, 10.527, 11.436, 10.456]" ,"[3.9835, 3.9825, 3.9815, 3.983, 3.9825]"                                                         ,"[3.228, 3.458, 4.415, 4.821, 4.429]" ,                          20 ,"[4.0, 4.0, 4.0, 4.0, 4.0]"           ,     3.6025            ,     12.152388876444046 ,0.064              ,13.551270431602962  ,0.1875              ,      4.2941374123971965 ,                     10.336 ,      0.55               ,                 0.1215 ,0.06                ,0.025               , 2.8115            ,0.5095             ,    0.879             ,   0.4285            ,           3.8225 , 28.524            , 37.3055           ,                      1.2165 ,         0.5315             ,    0.6905             ,   0.331              ,     4.685             ,    1.406             ,         3.301            ,                  1.0795 ,   10.1685            , 34.977            ,   22.374            ,         1.637             ,       0.162              ,  0.376              ,             0.0    ,    5.712            , 0.428              ,      4.598             ,    0.4205             ,  5.3515
Player0LossesStats ,-1.0    ,-1.0        ,71.72222222222223 , 7.444444444444445 ,10.333333333333334 ,6.811111111111111 ,"[3.878, 0.556, 0.578, 0.656, 0.0]" ,0.6222222222222222 ,     2.0    ,1.0666666666666667 ,0.5222222222222223 ,0.15555555555555556 ,"[37.544, 49.689, 58.867, 61.878, 50.789]" ,                        3.608 ,      76.84444444444445 ,  12.822222222222223 ,"[1.156, 0.0, 0.0, 1.889, 0.0]"       ,                    3.045 ,"[12.989, 6.122, 19.067, 5.056, 8.544]" ,"[5.978, 7.0, 8.911, 9.244, 8.856]"     ,"[3.988888888888889, 3.966666666666667, 3.988888888888889, 3.988888888888889, 3.966666666666667]" ,"[2.833, 3.067, 4.611, 4.5, 4.344]"   ,                          19 ,"[4.0, 4.0, 4.0, 4.0, 4.0]"           ,     3.433333333333333 ,      7.05641153081511  ,0.5777777777777777 ,20.50154416306362   ,0.05555555555555555 ,      2.42668986083499   ,                     51.778 ,      1.2333333333333334 ,                 1.7    ,0.15555555555555556 ,0.36666666666666664 ,10.366666666666667 ,2.7666666666666666 ,    4.722222222222222 ,   2.422222222222222 ,          11.7    ,104.82222222222222 ,100.81111111111112 ,                      2.2    ,         2.5444444444444443 ,    1.4777777777777779 ,   0.7666666666666667 ,    15.911111111111111 ,    4.511111111111111 ,        11.71111111111111 ,                  2.1    ,   19.566666666666666 ,112.56666666666666 ,   75.42222222222222 ,         3.533333333333333 ,       1.9666666666666666 ,  0.6222222222222222 ,             0.0    ,   16.18888888888889 , 0.7444444444444445 ,     14.255555555555556 ,    1.6222222222222222 ,  8.722222222222221
Player1            ,0.009   ,0.41        ,26.418            , 2.8105            , 6.7225            ,1.5285            ,"[0.803, 0.109, 0.113, 0.114, 0.0]" ,2.0395             ,     0.163  ,0.29               ,0.0105             ,0.0415              ,"[6.662, 6.571, 8.642, 8.812, 8.9]"        ,                        1.498 ,       3.843            ,   3.319             ,"[0.197, 0.115, 0.092, 0.045, 0.062]" ,                    0.511 ,"[1.645, 1.462, 1.327, 1.47, 1.469]"    ,"[2.284, 2.427, 2.998, 3.228, 3.093]"   ,"[3.537, 3.5015, 3.502, 3.5125, 3.5265]"                                                          ,"[2.059, 2.03, 2.65, 2.783, 2.759]"   ,                          12 ,"[3.575, 3.536, 3.539, 3.553, 3.557]" ,     2.919             ,      3.407485663749395 ,0.872              , 2.3810345595161095 ,0.869               ,      0.8688788311703903 ,                      7.373 ,      0.133              ,                 0.062  ,0.033               ,0.157               , 1.1845            ,0.1605             ,    0.436             ,   0.406             ,           5.035  , 26.071            , 26.4165           ,                      0.4175 ,         0.3735             ,    0.228              ,   0.1505             ,     2.3665            ,    1.1965            ,         1.8235           ,                  1.593  ,   18.1565            , 43.991            ,   27.6995           ,         0.4015            ,       0.299              ,  0.1435             ,             0.2285 ,    2.712            , 1.0415             ,      1.685             ,    1.5115             , 19.927
