AgentName ,WinRate ,MarginError ,numTurns ,victoryPoints ,finalTradeRates                       ,numRoadsBuilt ,devCardsBought ,usedDevCards                       ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                 ,totalResourcesFromDevCard ,resourcesFromBankTrade                 ,totalResourcesFromBankTrade ,finalResourceProduction               ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity  ,noCitysBuilt
Player0   ,  0.001 ,       0.2  ,  90.714 ,        4.013 ,"[3.987, 3.987, 3.987, 3.993, 3.991]" ,        4.593 ,         1.123 ,"[0.001, 0.0, 0.068, 0.09, 0.0]"   ,           0.311 ,      1.711 ,    0.244 ,      0.0   ,      0.015 ,"[52.055, 58.203, 70.474, 76.124, 69.304]" ,                        3.595 ,                104.345 ,              15.983 ,"[0.104, 0.037, 0.0, 0.0, 0.233]"    ,                    0.374 ,"[7.032, 28.79, 0.713, 26.433, 1.414]" ,                     64.382 ,"[5.709, 6.068, 7.881, 8.384, 7.92]"  ,"[3.231, 3.347, 4.503, 4.533, 4.477]" ,                          20 ,"[3.987, 3.987, 3.987, 3.993, 3.991]" ,                 3.771 ,      52.23809523809524 ,               979 ,17.275974025974026 ,          76
Player1   ,  0.332 ,       2.92 ,  90.945 ,        6.653 ,"[3.361, 3.357, 3.357, 3.348, 3.361]" ,       11.756 ,         5.121 ,"[2.803, 0.333, 0.422, 0.38, 0.0]" ,           2.424 ,      0.909 ,    1.033 ,      0.308 ,      0.331 ,"[23.682, 28.467, 33.246, 38.629, 33.648]" ,                        1.734 ,                 28.219 ,              10.044 ,"[0.783, 0.51, 0.333, 0.292, 0.215]" ,                    2.133 ,"[8.179, 7.873, 7.469, 7.186, 7.725]"  ,                     38.432 ,"[3.964, 4.772, 5.141, 6.291, 5.399]" ,"[1.94, 2.089, 2.69, 2.924, 2.631]"   ,                          12 ,"[3.551, 3.547, 3.552, 3.56, 3.577]"  ,                 2.9   ,      62.46166950596252 ,               413 ,48.952             ,         500
