AgentName          ,WinRate ,MarginError ,numTurns          ,victoryPoints     ,numRoadsBuilt     ,devCardsBought    ,usedDevCards                        ,settlementsBuilt   ,citiesBuilt        ,devCardVP          ,largestArmy        ,longestRoad         ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                  ,totalResourcesFromDevCard ,resourcesFromBankTrade                ,finalResourceProduction               ,finalTradeRates                                                                                   ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity  ,noCitysBuilt       ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades  ,badCityBankTrades   ,goodRoadBankTrades ,badRoadBankTrades   ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades  ,acceptedTrades ,rejectedTrades ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player0            ,0.8605  ,1.52        ,47.7145           ,9.6685            ,12.1035           ,8.5155            ,"[4.587, 0.571, 0.665, 0.638, 0.0]" ,1.959              ,1.188              ,1.7775             ,0.683              ,0.68                ,"[21.5, 21.997, 30.59, 29.719, 31.238]"    ,                        2.83  ,     17.958             ,   9.6015            ,"[1.062, 0.599, 0.049, 0.084, 1.053]" ,                    2.847 ,"[3.662, 5.973, 3.844, 3.949, 2.861]" ,"[6.665, 7.483, 9.217, 9.783, 9.655]" ,"[3.9055, 3.9175, 3.91, 3.9255, 3.9115]"                                                          ,"[3.218, 3.178, 4.494, 4.417, 4.428]" ,                      19.735 ,"[3.998, 3.999, 3.997, 3.999, 3.999]" ,    3.838              ,     25.203257927240426 ,0.1395             ,20.860264631414818 ,0.313              ,       6.255936351560521 ,                     20.289 ,       0.854             ,    0.0745              ,0.242               ,0.221               , 4.3845            ,0.1915              ,   2.151              ,  0.5505             ,12.3115            ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player0LossesStats ,-1.0    ,-1.0        ,65.85304659498208 ,6.620071684587813 ,11.68100358422939 ,6.577060931899641 ,"[3.613, 0.455, 0.573, 0.577, 0.0]" ,1.5268817204301075 ,0.7419354838709677 ,1.1397849462365592 ,0.2724014336917563 ,0.26881720430107525 ,"[27.889, 21.566, 45.401, 32.384, 37.606]" ,                        2.503 ,     27.017921146953405 ,  14.121863799283155 ,"[1.204, 0.48, 0.079, 0.19, 0.566]"   ,                    2.519 ,"[5.971, 8.029, 4.369, 5.631, 4.978]" ,"[4.989, 4.76, 8.613, 6.674, 7.556]"  ,"[3.89247311827957, 3.903225806451613, 3.870967741935484, 3.913978494623656, 3.8853046594982077]" ,"[2.9, 2.38, 5.179, 3.674, 4.165]"    ,                      18.298 ,"[3.993, 3.993, 3.986, 3.993, 3.993]" ,    3.3512544802867383 ,     27.446151867806854 ,0.2724014336917563 ,21.29579096408804  ,0.5412186379928315 ,       5.474879444480164 ,                     28.978 ,       1.021505376344086 ,    0.08602150537634409 ,0.24014336917562723 ,0.26523297491039427 , 7.279569892473118 ,0.22580645161290322 ,   2.4659498207885306 ,  1.1505376344086022 ,17.089605734767026 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1            ,0.0465  ,0.92        ,47.122            ,3.865             , 8.2245           ,2.968             ,"[1.591, 0.208, 0.226, 0.241, 0.0]" ,0.4355             ,0.3945             ,0.6                ,0.086              ,0.1045              ,"[12.552, 13.348, 15.639, 16.506, 16.081]" ,                        1.573 ,     10.087             ,   6.793             ,"[0.421, 0.275, 0.177, 0.123, 0.131]" ,                    1.127 ,"[3.358, 3.223, 2.979, 3.046, 3.233]" ,"[2.827, 3.139, 3.506, 3.777, 3.651]" ,"[3.467, 3.4775, 3.488, 3.47, 3.495]"                                                             ,"[2.088, 2.087, 2.758, 2.657, 2.689]" ,                      12.279 ,"[3.548, 3.551, 3.569, 3.553, 3.572]" ,    2.904              ,      9.179953957676576 ,0.7525             , 6.648976743837079 ,0.745              ,       1.910718907989131 ,                     15.839 ,       0.4435            ,    0.1335              ,0.1195              ,0.402               , 2.9785            ,0.1865              ,   1.165              ,  0.8995             ,10.196             ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
