AgentName          ,WinRate ,MarginError ,numTurns           ,victoryPoints     ,numRoadsBuilt     ,devCardsBought     ,usedDevCards                        ,settlementsBuilt   ,citiesBuilt        ,devCardVP          ,largestArmy         ,longestRoad         ,resourcesReceived                        ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard              ,totalResourcesFromDevCard ,resourcesFromBankTrade                ,finalResourceProduction             ,finalTradeRates                                                                      ,setupResourceProduction             ,totalSetupResourceProduction ,setupTradeRates               ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity ,noCitysBuilt       ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades  ,badCityBankTrades ,goodRoadBankTrades ,badRoadBankTrades   ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades  ,acceptedTrades ,rejectedTrades ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player0            ,0.1     ,5.88        ,21.72              ,6.18              ,8.4               ,3.54               ,"[1.75, 0.2, 0.2, 0.27, 0.0]"       ,1.42               ,0.97               ,0.91               ,0.2                 ,0.19                ,"[13.07, 10.77, 15.86, 13.14, 16.83]"    ,                        3.208 ,     10.95              ,   6.19              ,"[0.2, 0.54, 0.0, 0.27, 0.0]"     ,                    1.01  ,"[1.66, 1.26, 0.73, 2.4, 1.27]"       ,"[6.93, 6.98, 8.85, 7.95, 10.17]"   ,"[3.85, 3.91, 3.91, 3.85, 3.88]"                                                     ,"[3.93, 3.52, 4.82, 4.27, 5.21]"    ,                      21.75  ,"[4.0, 4.0, 4.0, 4.0, 4.0]"   ,    3.78               ,      7.320497392699559 ,0.28               ,6.276360715003013 ,0.42               ,      1.965503409546731  ,                      7.32  ,      0.35               ,                   0.02 ,0.17                ,             0.0  ,1.83               ,0.35                ,   1.02               , 0.17                ,3.34               ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player0LossesStats ,-1.0    ,-1.0        ,21.533333333333335 ,5.733333333333333 ,7.988888888888889 ,3.2555555555555555 ,"[1.656, 0.189, 0.156, 0.244, 0.0]" ,1.3333333333333333 ,0.8666666666666667 ,0.8222222222222222 ,0.17777777777777778 ,0.12222222222222222 ,"[12.344, 10.4, 14.889, 11.956, 16.256]" ,                        3.058 ,     10.322222222222223 ,   6.222222222222222 ,"[0.156, 0.489, 0.0, 0.167, 0.0]" ,                    0.812 ,"[1.622, 1.022, 0.633, 2.411, 1.133]" ,"[6.522, 6.911, 8.233, 7.2, 9.833]" ,"[3.9, 3.922222222222222, 3.922222222222222, 3.8555555555555556, 3.888888888888889]" ,"[3.833, 3.567, 4.8, 4.178, 5.289]" ,                      21.667 ,"[4.0, 4.0, 4.0, 4.0, 4.0]"   ,    3.7111111111111112 ,      7.526015857284441 ,0.3111111111111111 ,5.996277915632755 ,0.4444444444444444 ,      1.9846382556987117 ,                      6.821 ,      0.3111111111111111 ,                   0.0  ,0.16666666666666666 ,             0.0  ,1.6111111111111112 ,0.37777777777777777 ,   0.8888888888888888 , 0.16666666666666666 ,3.1777777777777776 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1            ,0.9     ,5.88        ,21.86              ,9.84              ,9.32              ,3.29               ,"[1.86, 0.23, 0.19, 0.22, 0.0]"     ,2.34               ,2.51               ,0.73               ,0.38                ,0.73                ,"[13.55, 19.01, 11.89, 20.16, 15.06]"    ,                        3.645 ,     12.47              ,   4.75              ,"[0.22, 0.28, 0.41, 0.05, 0.14]"  ,                    1.1   ,"[1.98, 1.75, 1.55, 1.75, 1.64]"      ,"[8.39, 13.57, 9.74, 14.78, 10.84]" ,"[3.5, 3.61, 3.57, 3.66, 3.54]"                                                      ,"[3.53, 4.59, 2.96, 5.46, 3.85]"    ,                      20.39  ,"[4.0, 4.0, 4.0, 3.94, 3.96]" ,    4.69               ,      8.023209283713486 ,0.04               ,8.815289173504103 ,0.06               ,      2.490996398559424  ,                      8.67  ,      0.75               ,                   0.0  ,0.39                ,             0.01 ,1.75               ,0.17                ,   1.06               , 0.42                ,3.83               ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
