AgentName ,WinRate ,MarginError ,numTurns ,victoryPoints ,numRoadsBuilt ,devCardsBought ,usedDevCards                    ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                     ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard             ,totalResourcesFromDevCard ,resourcesFromBankTrade           ,finalResourceProduction             ,finalTradeRates                  ,setupResourceProduction          ,totalSetupResourceProduction ,setupTradeRates                  ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity  ,noCitysBuilt ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades ,badCityBankTrades ,goodRoadBankTrades ,badRoadBankTrades ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades ,acceptedTrades ,rejectedTrades ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player0   ,   0.23 ,       8.25 ,   24.96 ,         6.7  ,         8.87 ,          4.16 ,"[2.05, 0.27, 0.31, 0.28, 0.0]" ,            1.4  ,       1.14 ,     0.94 ,       0.31 ,       0.29 ,"[11.76, 11.81, 19.37, 16.94, 14.66]" ,                        2.986 ,                  10.2  ,                6.19 ,"[0.23, 0.83, 0.0, 0.33, 0.0]"   ,                     1.39 ,"[2.57, 1.8, 1.35, 1.7, 1.63]"   ,"[6.62, 6.74, 9.74, 8.49, 7.73]"    ,"[3.77, 3.75, 3.66, 3.76, 3.82]" ,"[3.32, 3.3, 5.27, 4.57, 4.23]"  ,                       20.69 ,"[4.0, 4.0, 4.0, 4.0, 4.0]"      ,                  3.66 ,     8.313277176093061  ,              0.28 ,7.1579158719004115 ,        0.39 ,     2.5571600481347776  ,                       9.05 ,                    0.34 ,                   0.0  ,              0.14 ,             0.01 ,              2.03 ,             0.19 ,                 1.14 ,                0.29 ,             4.99 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1   ,   0.77 ,       8.25 ,   25.0  ,         9.32 ,         9.79 ,          3.52 ,"[1.93, 0.26, 0.31, 0.23, 0.0]" ,            2.28 ,       2.49 ,     0.65 ,       0.33 ,       0.59 ,"[14.75, 21.78, 13.97, 22.77, 18.19]" ,                        3.658 ,                  16.49 ,                5.66 ,"[0.42, 0.32, 0.26, 0.26, 0.09]" ,                     1.35 ,"[2.19, 2.11, 2.16, 2.29, 2.2]"  ,"[9.54, 12.91, 9.01, 13.82, 11.86]" ,"[3.61, 3.63, 3.63, 3.59, 3.61]" ,"[3.34, 4.64, 2.94, 4.94, 3.93]" ,                       19.79 ,"[3.91, 3.93, 3.93, 3.85, 3.87]" ,                  4.64 ,     9.853941576630653  ,              0.04 ,9.146402481737216  ,        0.07 ,     2.571028411364546   ,                      10.95 ,                    0.72 ,                   0.0  ,              0.43 ,             0.01 ,              1.93 ,             0.21 ,                 1.22 ,                0.59 ,             5.45 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player2   ,   0.0  ,       8.25 ,   24.51 ,         2.75 ,         5.52 ,          1.31 ,"[0.6, 0.13, 0.12, 0.1, 0.0]"   ,            0.09 ,       0.18 ,     0.24 ,       0.02 ,       0.08 ,"[6.22, 5.1, 8.01, 6.59, 7.14]"       ,                        1.349 ,                   3.43 ,                4.02 ,"[0.22, 0.11, 0.06, 0.03, 0.0]"  ,                     0.42 ,"[1.27, 1.42, 1.16, 1.2, 1.54]"  ,"[2.39, 2.06, 3.03, 2.58, 2.75]"    ,"[3.56, 3.53, 3.47, 3.49, 3.39]" ,"[2.11, 1.75, 2.95, 2.3, 2.72]"  ,                       11.83 ,"[3.56, 3.53, 3.48, 3.5, 3.41]"  ,                  2.77 ,     0.9186351706036745 ,              0.94 ,2.037317196167423  ,        0.85 ,     0.2725620835857056  ,                       6.59 ,                    0.05 ,                   0.03 ,              0.05 ,             0.06 ,              0.86 ,             0.15 ,                 0.43 ,                0.33 ,             4.75 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player3   ,   0.0  ,       8.25 ,   24.79 ,         2.5  ,         5.09 ,          1.36 ,"[0.68, 0.12, 0.1, 0.14, 0.0]"  ,            0.02 ,       0.16 ,     0.22 ,       0.02 ,       0.03 ,"[4.32, 5.4, 8.64, 6.58, 7.54]"       ,                        1.31  ,                   3.16 ,                3.36 ,"[0.2, 0.13, 0.05, 0.1, 0.01]"   ,                     0.49 ,"[1.41, 1.48, 1.24, 1.42, 1.47]" ,"[1.7, 2.07, 3.12, 2.39, 2.81]"     ,"[3.55, 3.43, 3.45, 3.5, 3.46]"  ,"[1.59, 1.96, 3.1, 2.34, 2.74]"  ,                       11.73 ,"[3.55, 3.43, 3.45, 3.5, 3.46]"  ,                  2.71 ,     0.4342557059179964 ,              0.98 ,1.6439737771053957 ,        0.85 ,     0.11108866895576652 ,                       7.02 ,                    0.04 ,                   0.02 ,              0.04 ,             0.14 ,              0.76 ,             0.11 ,                 0.58 ,                0.36 ,             5.11 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
