AgentName          ,WinRate ,MarginError ,numTurns           ,victoryPoints     ,numRoadsBuilt      ,devCardsBought    ,usedDevCards                        ,settlementsBuilt ,citiesBuilt        ,devCardVP          ,largestArmy        ,longestRoad        ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                ,totalResourcesFromDevCard ,resourcesFromBankTrade              ,finalResourceProduction               ,finalTradeRates                                                                                   ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                  ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt  ,turnsForFirstCity  ,noCitysBuilt        ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades  ,badCityBankTrades   ,goodRoadBankTrades ,badRoadBankTrades  ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades ,acceptedTrades ,rejectedTrades ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player0            ,0.38    ,13.45       ,28.06              ,7.76              ,10.34              ,5.48              ,"[3.0, 0.36, 0.44, 0.38, 0.0]"      ,            1.34 ,1.56               ,0.98               ,0.46               ,0.44               ,"[16.96, 17.48, 14.94, 17.84, 18.38]"      ,                        3.051 ,      9.26              ,   6.76              ,"[0.48, 1.18, 0.14, 0.88, 0.0]"     ,                    2.68  ,"[2.02, 2.22, 1.48, 2.74, 2.0]"     ,"[7.5, 9.38, 8.46, 10.02, 9.78]"      ,"[3.94, 3.98, 3.98, 3.98, 3.98]"                                                                  ,"[4.18, 3.74, 4.12, 4.3, 4.66]"       ,                      21.0   ,"[4.0, 4.0, 4.0, 4.0, 4.0]"      ,    3.84               ,     11.077603538399678 ,0.26                , 9.738430583501005 ,0.3                 ,      3.4579815038198634 ,                     10.46  ,     0.2                 ,    0.02                ,0.24                ,0.06                ,1.44               ,0.4                ,   1.28               ,  0.36               , 6.02             ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player0LossesStats ,-1.0    ,-1.0        ,29.967741935483872 ,6.225806451612903 ,10.129032258064516 ,5.258064516129032 ,"[2.806, 0.419, 0.452, 0.355, 0.0]" ,            1.0  ,1.1290322580645162 ,0.9354838709677419 ,0.3225806451612903 ,0.1935483870967742 ,"[14.935, 16.968, 13.742, 17.032, 19.226]" ,                        2.733 ,      8.419354838709678 ,   7.580645161290323 ,"[0.516, 1.032, 0.194, 1.065, 0.0]" ,                    2.807 ,"[2.161, 1.903, 1.839, 2.806, 2.0]" ,"[5.839, 7.613, 6.645, 7.935, 7.968]" ,"[3.903225806451613, 3.967741935483871, 3.967741935483871, 3.967741935483871, 3.967741935483871]" ,"[3.839, 3.677, 3.839, 4.452, 4.935]" ,                      20.742 ,"[4.0, 4.0, 4.0, 4.0, 4.0]"      ,    3.7096774193548385 ,      9.842827004219409 ,0.41935483870967744 , 9.515822784810126 ,0.41935483870967744 ,      3.0084388185654007 ,                     10.709 ,     0.12903225806451613 ,    0.03225806451612903 ,0.12903225806451613 ,0.06451612903225806 ,1.3548387096774193 ,0.3870967741935484 ,   1.1935483870967742 ,  0.3870967741935484 , 6.32258064516129 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1            ,0.62    ,13.45       ,27.92              ,8.54              , 9.78              ,3.62              ,"[1.9, 0.22, 0.28, 0.28, 0.0]"      ,            2.1  ,2.34               ,0.78               ,0.24               ,0.38               ,"[16.48, 22.6, 16.84, 22.3, 19.0]"         ,                        3.482 ,     17.0               ,   5.86              ,"[0.46, 0.32, 0.26, 0.2, 0.04]"     ,                    1.28  ,"[2.82, 3.0, 2.42, 2.86, 2.5]"      ,"[8.92, 11.26, 9.06, 11.88, 10.74]"   ,"[3.72, 3.64, 3.52, 3.62, 3.48]"                                                                  ,"[3.2, 4.16, 3.34, 4.22, 4.2]"        ,                      19.12  ,"[3.92, 3.92, 3.88, 3.84, 3.84]" ,    4.46               ,     11.462925851703407 ,0.1                 ,10.064153969526863 ,0.12                ,      3.0861723446893787 ,                     13.6   ,     0.78                ,    0.0                 ,0.38                ,0.0                 ,2.74               ,0.24               ,   1.56               ,  0.96               , 6.46             ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
