AgentName          ,WinRate ,MarginError ,numTurns          ,victoryPoints     ,numRoadsBuilt      ,devCardsBought     ,usedDevCards                        ,settlementsBuilt   ,citiesBuilt        ,devCardVP          ,largestArmy ,longestRoad         ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                 ,totalResourcesFromDevCard ,resourcesFromBankTrade                ,totalResourcesFromBankTrade ,finalResourceProduction                  ,finalTradeRates                                                                                  ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt  ,turnsForFirstCity  ,noCitysBuilt
Player0            ,0.889   ,1.95        ,47.338            ,9.744             ,12.242             ,10.702             ,"[0.0, 0.72, 0.796, 0.803, 0.0]"    ,2.542              ,1.966              ,2.276              ,      0.0   ,0.493               ,"[24.278, 25.533, 32.898, 33.399, 33.809]" ,                        3.167 ,      17.268            ,   9.034             ,"[1.065, 1.738, 0.386, 0.827, 0.0]"  ,                    4.016 ,"[4.635, 6.061, 3.569, 6.223, 2.475]" ,                     22.963 ,"[8.756, 9.712, 11.484, 12.349, 12.065]" ,"[3.584, 3.595, 3.59, 3.611, 3.624]"                                                             ,"[3.179, 3.11, 4.186, 4.27, 4.297]"   ,                          19 ,"[3.997, 3.999, 3.999, 3.999, 3.995]" ,    3.761              ,     23.661277708996284 ,0.054               ,22.65928559641148  ,0.145
Player0LossesStats ,-1.0    ,-1.0        ,61.31531531531532 ,6.396396396396397 ,11.558558558558559 ,10.198198198198199 ,"[0.0, 0.766, 0.721, 0.73, 0.0]"    ,2.4684684684684686 ,0.9009009009009009 ,1.8738738738738738 ,      0.0   ,0.09009009009009009 ,"[25.685, 23.541, 37.757, 27.766, 42.315]" ,                        2.562 ,      20.81981981981982 ,  10.675675675675675 ,"[0.973, 1.405, 0.306, 0.874, 0.0]"  ,                    3.558 ,"[5.495, 7.315, 4.387, 7.55, 2.225]"  ,                     26.972 ,"[5.216, 4.829, 7.604, 6.198, 8.604]"    ,"[3.7837837837837838, 3.720720720720721, 3.72972972972973, 3.72972972972973, 3.774774774774775]" ,"[2.847, 2.685, 4.099, 3.252, 4.667]" ,                          18 ,"[4.0, 4.0, 4.0, 4.0, 4.0]"           ,    3.3513513513513513 ,     19.64033873463073  ,0.36036036036036034 ,14.556189854836079 ,0.5315315315315315
Player1            ,0.043   ,1.26        ,46.71             ,4.033             , 8.024             , 2.533             ,"[1.356, 0.179, 0.197, 0.226, 0.0]" ,2.03               ,0.419              ,0.491              ,      0.172 ,0.145               ,"[12.103, 13.561, 15.488, 16.973, 15.541]" ,                        1.577 ,      10.698            ,   5.561             ,"[0.355, 0.22, 0.165, 0.151, 0.114]" ,                    1.005 ,"[3.362, 3.33, 3.233, 3.095, 3.269]"  ,                     16.289 ,"[2.708, 3.197, 3.404, 3.976, 3.521]"    ,"[3.456, 3.478, 3.454, 3.487, 3.454]"                                                            ,"[2.078, 2.049, 2.565, 2.702, 2.56]"  ,                          12 ,"[3.538, 3.544, 3.527, 3.566, 3.528]" ,    2.838              ,      8.741643649173371 ,0.76                , 6.742915585461802 ,0.729
