AgentName,WinRate,MarginError,numTurns,victoryPoints,finalTradeRates,numRoadsBuilt,devCardsBought,usedDevCards,settlementsBuilt,citiesBuilt,devCardVP,largestArmy,longestRoad,resourcesReceived,totalResourcesReceivedPerTurn,totalResourcesDiscarded,totalResourcesStolen,resourcesFromDevCard,totalResourcesFromDevCard,resourcesFromBankTrade,totalResourcesFromBankTrade,finalResourceProduction,setupResourceProduction,totalSetupResourceProduction,setupTradeRates,setupResourceDiversity
Player0,0.529,3.09,38.586,8.295,"[3.542, 3.517, 3.54, 3.525, 3.514]",9.574,5.615,"[3.128, 0.328, 0.427, 0.429, 0.0]",2.084,1.649,1.119,0.603,0.262,"[18.203, 19.705, 37.204, 27.722, 28.959]",3.416,18.856,7.446,"[0.07, 2.001, 0.0, 0.0, 0.0]",2.071,"[3.586, 6.94, 3.574, 7.641, 3.958]",25.699,"[7.041, 7.208, 12.767, 9.896, 10.119]","[3.38, 3.048, 6.133, 4.562, 5.013]",22,"[3.971, 3.967, 3.973, 3.967, 3.969]",3.744
Player1,0.449,3.08,38.286,7.668,"[3.604, 3.603, 3.607, 3.62, 3.585]",11.817,4.329,"[2.307, 0.268, 0.344, 0.348, 0.0]",2.046,1.454,0.896,0.275,0.6,"[23.869, 28.463, 13.6, 33.018, 25.258]",3.244,16.017,8.543,"[0.344, 0.913, 0.344, 0.0, 0.0]",1.601,"[8.996, 3.399, 4.735, 0.83, 4.204]",22.164,"[7.488, 9.359, 5.368, 11.28, 8.499]","[3.986, 4.702, 2.411, 5.367, 4.312]",21,"[3.992, 3.994, 3.99, 3.99, 3.992]",3.817
