AgentName,WinRate,numTurns,victoryPoints,finalTradeRates,numRoadsBuilt,devCardsBought,usedDevCards,settlementsBuilt,citiesBuilt,devCardVP,largestArmy,longestRoad,resourcesReceived,totalResourcesReceivedPerTurn,totalResourcesDiscarded,totalResourcesStolen,resourcesFromDevCard,totalResourcesFromDevCard,resourcesFromBankTrade,totalResourcesFromBankTrade,finalResourceProduction,setupResourceProduction,totalSetupResourceProduction,setupTradeRates
Player0,0.304,41.831,6.94,"[3.424, 3.43, 3.444, 3.423, 3.412]",9.086,5.966,"[3.257, 0.381, 0.48, 0.447, 0.0]",2.24,1.209,1.224,0.341,0.124,"[16.172, 14.498, 37.29, 24.484, 27.379]",2.864,15.083,7.758,"[0.084, 2.281, 0.0, 0.0, 0.0]",2.365,"[3.403, 7.436, 3.792, 7.173, 4.218]",26.022,"[5.039, 4.77, 10.995, 7.684, 7.997]","[2.8, 2.243, 6.263, 3.884, 4.494]",20,"[3.862, 3.876, 3.864, 3.864, 3.848]"
Player1,0.236,41.796,6.216,"[3.478, 3.478, 3.468, 3.476, 3.461]",11.167,4.253,"[2.325, 0.281, 0.309, 0.346, 0.0]",2.183,1.024,0.861,0.216,0.304,"[19.288, 24.147, 18.253, 25.597, 23.942]",2.661,12.78,7.861,"[0.309, 0.987, 0.309, 0.0, 0.0]",1.605,"[8.667, 3.644, 5.147, 1.214, 4.12]",22.792,"[5.144, 6.792, 5.327, 7.369, 6.492]","[3.264, 3.882, 3.223, 4.145, 4.107]",19,"[3.916, 3.916, 3.914, 3.904, 3.906]"
