AgentName                 ,WinRate ,numTurns ,victoryPoints ,finalTradeRates                            ,numRoadsBuilt ,devCardsBought ,usedDevCards                            ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                               ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                       ,totalResourcesFromDevCard ,resourcesFromBankTrade                     ,totalResourcesFromBankTrade ,finalResourceProduction                       ,setupResourceProduction                    ,totalSetupResourceProduction ,setupTradeRates
SetupRandomRoads_wins_10M , 0.6649 , 65.8325 ,       8.9014 ,"[3.6041, 3.6028, 3.5972, 3.6038, 3.6021]" ,      13.7171 ,        5.3002 ,"[2.8931, 0.3015, 0.4138, 0.4187, 0.0]" ,          2.3143 ,     1.7985 ,   1.0565 ,     0.4252 ,     0.5194 ,"[38.4337, 50.3702, 32.2943, 56.7337, 46.3034]" ,                        3.405 ,                53.4924 ,             12.5696 ,"[0.7086, 0.4692, 0.3376, 0.2618, 0.2304]" ,                    2.008 ,"[8.3623, 7.8174, 8.522, 7.518, 8.1146]"   ,                     40.334 ,"[8.6345, 10.7993, 7.5667, 12.3179, 10.4209]" ,"[3.855, 4.6664, 2.896, 5.27, 4.5195]"     ,                          21 ,"[3.9988, 3.9986, 3.9986, 3.9982, 3.9976]"
AgentRandom               , 0.107  , 65.6935 ,       4.8228 ,"[3.4207, 3.4222, 3.4246, 3.4255, 3.4182]" ,       9.9076 ,        3.8365 ,"[2.0695, 0.271, 0.3068, 0.2998, 0.0]"  ,          2.2182 ,     0.5796 ,   0.7696 ,     0.1597 ,     0.1546 ,"[17.5129, 18.5832, 24.8498, 24.3727, 23.4371]" ,                        1.656 ,                17.6258 ,              8.3208 ,"[0.5569, 0.3648, 0.235, 0.2247, 0.175]"   ,                    1.556 ,"[5.3476, 5.1591, 4.7131, 4.8267, 5.0125]" ,                     25.059 ,"[3.2085, 3.4813, 4.5543, 4.5309, 4.2668]"    ,"[2.0284, 1.9655, 2.8986, 2.6858, 2.6787]" ,                          12 ,"[3.5546, 3.5552, 3.5551, 3.5551, 3.5486]"
