AgentName ,WinRate ,MarginError ,numTurns ,victoryPoints ,finalTradeRates                       ,numRoadsBuilt ,devCardsBought ,usedDevCards                        ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                          ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                ,totalResourcesFromDevCard ,resourcesFromBankTrade                ,totalResourcesFromBankTrade ,finalResourceProduction                 ,setupResourceProduction               ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity  ,noCitysBuilt
Player0   ,  0.816 ,       2.4  ,  49.248 ,         9.56 ,"[3.761, 3.744, 3.755, 3.765, 3.76]"  ,       11.958 ,         5.502 ,"[3.103, 0.278, 0.441, 0.404, 0.0]" ,           2.275 ,      1.86  ,    1.067 ,      0.673 ,      0.571 ,"[25.652, 26.995, 32.778, 37.036, 37.269]" ,                        3.243 ,                 26.451 ,               9.396 ,"[0.615, 1.343, 0.007, 0.0, 0.0]"   ,                    1.965 ,"[6.221, 6.807, 4.45, 4.952, 5.425]"  ,                     27.855 ,"[8.372, 9.148, 10.85, 12.191, 11.346]" ,"[3.274, 3.327, 4.327, 4.593, 4.696]" ,                          20 ,"[3.954, 3.966, 3.966, 3.956, 3.964]" ,                 3.757 ,     27.50272034820457  ,                81 ,25.288177339901477 ,         188
Player1   ,  0.062 ,       1.49 ,  48.675 ,         4.04 ,"[3.447, 3.477, 3.466, 3.478, 3.449]" ,        8.295 ,         2.916 ,"[1.57, 0.181, 0.231, 0.225, 0.0]"  ,           2.054 ,      0.452 ,    0.606 ,      0.08  ,      0.133 ,"[13.184, 13.949, 16.571, 18.698, 16.719]" ,                        1.625 ,                 11.879 ,               6.678 ,"[0.391, 0.257, 0.21, 0.179, 0.11]" ,                    1.147 ,"[3.648, 3.605, 3.273, 3.217, 3.449]" ,                     17.192 ,"[2.948, 3.065, 3.691, 4.136, 3.683]"   ,"[2.088, 2.006, 2.752, 2.863, 2.597]" ,                          12 ,"[3.525, 3.558, 3.541, 3.552, 3.529]" ,                 2.909 ,     39.242537313432834 ,               732 ,27.20138888888889  ,         712
