AgentName,WinRate,numTurns,victoryPoints,finalTradeRates,numRoadsBuilt,devCardsBought,usedDevCards,settlementsBuilt,citiesBuilt,devCardVP,largestArmy,longestRoad,resourcesReceived,totalResourcesReceivedPerTurn,totalResourcesDiscarded,totalResourcesStolen,resourcesFromDevCard,totalResourcesFromDevCard,resourcesFromBankTrade,totalResourcesFromBankTrade,finalResourceProduction,setupResourceProduction,totalSetupResourceProduction,setupTradeRates
Full_SelfPlay_8vp_5M,0.13,85.103,4.997,"[3.013, 2.995, 2.986, 3.012, 2.977]",6.955,5.553,"[0.0, 0.401, 0.452, 0.426, 0.0]",2.219,0.704,1.118,0.0,0.115,"[18.817, 21.002, 21.571, 23.041, 21.31]",1.243,11.071,6.983,"[0.452, 1.308, 0.452, 0.0, 0.0]",2.212,"[5.105, 5.876, 6.653, 8.423, 7.337]",33.394,"[2.757, 3.213, 3.262, 3.863, 3.31]","[1.595, 1.531, 1.97, 1.896, 1.786]",9,"[3.15, 3.132, 3.11, 3.17, 3.143]"
AgentRandom,0.279,85.111,6.326,"[3.439, 3.441, 3.435, 3.424, 3.398]",11.58,4.481,"[2.448, 0.305, 0.353, 0.346, 0.0]",2.442,0.906,0.898,0.301,0.259,"[25.552, 28.598, 34.601, 35.456, 33.211]",1.85,28.443,11.935,"[0.594, 0.335, 0.294, 0.222, 0.201]",1.646,"[7.523, 7.325, 6.864, 6.824, 7.106]",35.642,"[4.417, 5.016, 5.71, 6.329, 5.723]","[2.277, 2.206, 2.85, 2.811, 2.739]",13,"[3.606, 3.629, 3.605, 3.593, 3.584]"
