AgentName   ,WinRate ,numTurns ,victoryPoints ,finalTradeRates                            ,numRoadsBuilt ,devCardsBought ,usedDevCards                            ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                               ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard                       ,totalResourcesFromDevCard ,resourcesFromBankTrade                     ,totalResourcesFromBankTrade ,finalResourceProduction                    ,setupResourceProduction                    ,totalSetupResourceProduction ,setupTradeRates
AgentRandom , 0.2599 , 82.5046 ,       6.1195 ,"[3.3976, 3.4001, 3.4092, 3.4016, 3.4024]" ,      11.3931 ,        4.6237 ,"[2.5285, 0.3068, 0.3562, 0.3625, 0.0]" ,          2.3959 ,     0.8296 ,   0.939  ,     0.2407 ,     0.2892 ,"[24.1481, 26.4872, 32.7194, 33.9602, 32.3009]" ,                        1.813 ,                26.7285 ,             10.7115 ,"[0.6266, 0.415, 0.2846, 0.2551, 0.1956]"  ,                    1.777 ,"[7.3063, 7.1273, 6.6789, 6.647, 6.896]"   ,                     34.656 ,"[4.1832, 4.7324, 5.4292, 5.8276, 5.5008]" ,"[2.1391, 2.0959, 2.8439, 2.7915, 2.812]"  ,                          13 ,"[3.5686, 3.5703, 3.5781, 3.5715, 3.5684]"
AgentRandom , 0.2427 , 82.4972 ,       6.0244 ,"[3.406, 3.4017, 3.399, 3.4061, 3.4042]"   ,      11.3778 ,        4.665  ,"[2.5379, 0.3144, 0.3554, 0.363, 0.0]"  ,          2.3808 ,     0.8571 ,   0.9546 ,     0.2422 ,     0.2192 ,"[23.8593, 27.0098, 33.5235, 35.0124, 33.3259]" ,                        1.851 ,                27.6526 ,             10.8777 ,"[0.6359, 0.4087, 0.2758, 0.2409, 0.1748]" ,                    1.736 ,"[7.5283, 7.2576, 6.7322, 6.8204, 6.9858]" ,                     35.324 ,"[4.1908, 4.7625, 5.4672, 5.9997, 5.5874]" ,"[2.0711, 2.1197, 2.8724, 2.8424, 2.8477]" ,                          13 ,"[3.5725, 3.5685, 3.569, 3.5738, 3.5714]"
