AgentName,WinRate,MarginError,numTurns,victoryPoints,numRoadsBuilt,devCardsBought,usedDevCards,settlementsBuilt,citiesBuilt,devCardVP,largestArmy,longestRoad,resourcesReceived,totalResourcesReceivedPerTurn,totalResourcesDiscarded,totalResourcesStolen,resourcesFromDevCard,totalResourcesFromDevCard,resourcesFromBankTrade,totalResourcesFromBankTrade,finalResourceProduction,finalTradeRates,setupResourceProduction,totalSetupResourceProduction,setupTradeRates,setupResourceDiversity,turnsForFirstSettlement,noSettlementsBuilt,turnsForFirstCity,noCitysBuilt
Player0,0.619,3.01,63.522,8.53,13.522,5.045,"[2.804, 0.289, 0.421, 0.373, 0.0]",2.891,1.228,0.999,0.492,0.563,"[33.516, 32.371, 43.439, 47.014, 42.9]",3.137,32.84,13.001,"[0.421, 0.421, 0.0, 0.0, 0.942]",1.784,"[13.966, 2.411, 4.908, 8.277, 8.224]",37.786,"[7.229, 8.124, 9.425, 10.829, 9.508]","[3.873, 3.875, 3.881, 3.882, 3.886]","[3.453, 3.295, 4.476, 4.571, 4.385]",20,"[4.0, 4.0, 4.0, 4.0, 4.0]",3.827,35.16109785202864,162,30.42965204236006,339
Player0LossesStats,-1.0,-1.0,77.0971128608924,5.89501312335958,12.729658792650918,4.173228346456693,"[2.333, 0.215, 0.367, 0.312, 0.0]",2.9028871391076114,0.5800524934383202,0.7821522309711286,0.1889763779527559,0.2388451443569554,"[41.157, 28.774, 54.504, 52.714, 47.995]",2.92,39.24146981627297,15.569553805774278,"[0.367, 0.367, 0.0, 0.0, 0.887]",1.621,"[16.963, 3.535, 4.895, 11.102, 10.693]",47.188,"[5.958, 4.927, 7.919, 7.848, 6.966]","[3.8976377952755907, 3.863517060367454, 3.8897637795275593, 3.8897637795275593, 3.89501312335958]","[3.554, 2.703, 5.021, 4.289, 4.168]",20,"[4.0, 4.0, 4.0, 4.0, 4.0]",3.5301837270341205,39.74476987447699,142,35.673611111111114,237
Player1,0.133,2.1,63.154,4.854,9.813,3.729,"[1.995, 0.262, 0.279, 0.301, 0.0]",2.27,0.563,0.762,0.154,0.151,"[17.812, 19.083, 24.746, 24.342, 23.458]",1.733,18.666,8.222,"[0.562, 0.303, 0.174, 0.188, 0.174]",1.401,"[5.232, 5.173, 4.755, 4.799, 5.057]",25.016,"[3.413, 3.761, 4.415, 4.575, 4.466]","[3.429, 3.422, 3.41, 3.47, 3.462]","[2.118, 2.077, 2.931, 2.699, 2.754]",13,"[3.579, 3.556, 3.556, 3.602, 3.609]",2.937,44.4296875,616,35.79331306990881,671
