AgentName ,WinRate ,MarginError ,numTurns ,victoryPoints ,numRoadsBuilt ,devCardsBought ,usedDevCards                    ,settlementsBuilt ,citiesBuilt ,devCardVP ,largestArmy ,longestRoad ,resourcesReceived                       ,totalResourcesReceivedPerTurn ,totalResourcesDiscarded ,totalResourcesStolen ,resourcesFromDevCard             ,totalResourcesFromDevCard ,resourcesFromBankTrade               ,finalResourceProduction                ,finalTradeRates                  ,setupResourceProduction            ,totalSetupResourceProduction ,setupTradeRates                       ,setupResourceDiversity ,turnsForFirstSettlement ,noSettlementsBuilt ,turnsForFirstCity ,noCitysBuilt ,numRoadsFor1stSettlement ,totalResourcesFromBankTrade ,goodSettlementBankTrades ,badSettlementBankTrades ,goodCityBankTrades ,badCityBankTrades ,goodRoadBankTrades ,badRoadBankTrades ,goodDevCardBankTrades ,badDevCardBankTrades ,neutralBankTrades ,acceptedTrades ,rejectedTrades ,goodSettlementAcceptedTrades ,badSettlementAcceptedTrades ,goodCityAcceptedTrades ,badCityAcceptedTrades ,goodRoadAcceptedTrades ,badRoadAcceptedTrades ,goodDevCardAcceptedTrades ,badDevCardAcceptedTrades ,neutralAcceptedTrades ,totalPlayerTrades ,acceptedPlayerTrades ,goodSettlementPlayerTrades ,badSettlementPlayerTrades ,goodCityPlayerTrades ,badCityPlayerTrades ,goodRoadPlayerTrades ,badRoadPlayerTrades ,goodDevCardPlayerTrades ,badDevCardPlayerTrades ,neutralPlayerTrades
Player1   ,  0.86  ,       6.8  ,  24.19  ,        9.57  ,        9.94  ,          3.57 ,"[1.97, 0.23, 0.25, 0.21, 0.0]" ,           2.34  ,      2.52  ,    0.79  ,      0.35  ,        0.6 ,"[14.84, 20.21, 13.43, 22.79, 18.88]"   ,                        3.727 ,                  14.43 ,               5.41  ,"[0.37, 0.37, 0.17, 0.14, 0.18]" ,                     1.23 ,"[2.59, 2.3, 2.31, 2.1, 2.17]"       ,"[9.74, 12.16, 8.2, 14.44, 12.28]"     ,"[3.42, 3.59, 3.53, 3.55, 3.44]" ,"[3.51, 4.72, 2.77, 5.02, 4.26]"   ,                      20.28  ,"[3.94, 3.96, 3.94, 3.92, 3.94]"      ,                  4.55 ,      9.254627313656828 ,             0.05  ,8.545982187531271 ,        0.07 ,      2.481240620310155  ,                      11.47 ,                   0.72  ,                    0.0 ,             0.46  ,             0.02 ,              2.14 ,            0.2   ,                 1.21 ,                0.52 ,            5.47  ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1   ,  0.875 ,      10.25 ,  25.825 ,        9.575 ,       10.275 ,          3.8  ,"[2.15, 0.225, 0.25, 0.2, 0.0]" ,           2.275 ,      2.525 ,    0.825 ,      0.375 ,        0.6 ,"[15.35, 24.375, 15.1, 26.625, 17.175]" ,                        3.819 ,                  17.65 ,               5.975 ,"[0.7, 0.1, 0.025, 0.0, 0.075]"  ,                     0.9  ,"[2.725, 2.425, 2.55, 2.425, 2.425]" ,"[9.125, 13.325, 9.125, 15.875, 10.5]" ,"[3.45, 3.5, 3.525, 3.5, 3.5]"   ,"[3.875, 4.65, 3.025, 5.1, 3.675]" ,                      20.325 ,"[3.875, 3.925, 3.925, 3.925, 3.925]" ,                  4.6  ,      8.591108328115217 ,             0.075 ,8.395989974937343 ,        0.1  ,      2.379461490294302  ,                      12.55 ,                   0.625 ,                    0.0 ,             0.325 ,             0.0  ,              2.05 ,            0.225 ,                 1.4  ,                0.85 ,            6.125 ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1   ,  0.93  ,       5.0  ,  25.5   ,        9.98  ,       10.62  ,          3.68 ,"[1.98, 0.32, 0.29, 0.29, 0.0]" ,           2.63  ,      2.73  ,    0.68  ,      0.27  ,        0.7 ,"[15.69, 22.12, 16.8, 25.82, 19.65]"    ,                        3.925 ,                  16.37 ,               5.36  ,"[0.47, 0.33, 0.16, 0.14, 0.14]" ,                     1.24 ,"[2.78, 2.95, 2.19, 2.22, 2.59]"     ,"[9.41, 12.77, 11.43, 15.59, 12.71]"   ,"[3.5, 3.7, 3.55, 3.68, 3.51]"   ,"[3.46, 4.47, 3.17, 5.27, 4.17]"   ,                      20.54  ,"[3.93, 3.98, 3.94, 3.98, 3.94]"      ,                  4.62 ,      9.890989098909891 ,             0.01  ,9.42471235617809  ,        0.05 ,      2.7902790279027903 ,                      12.73 ,                   0.95  ,                    0.0 ,             0.48  ,             0.05 ,              2.63 ,            0.31  ,                 1.37 ,                0.56 ,            5.66  ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0
Player1   ,  0.91  ,       5.61 ,  25.16  ,        9.95  ,       11.04  ,          3.44 ,"[1.94, 0.24, 0.28, 0.23, 0.0]" ,           2.36  ,      2.84  ,    0.63  ,      0.36  ,        0.7 ,"[15.43, 21.83, 14.91, 25.05, 17.67]"   ,                        3.771 ,                  14.2  ,               5.03  ,"[0.49, 0.41, 0.06, 0.28, 0.17]" ,                     1.41 ,"[2.73, 2.62, 2.36, 1.94, 2.3]"      ,"[9.89, 12.69, 9.96, 16.26, 11.93]"    ,"[3.56, 3.64, 3.67, 3.59, 3.57]" ,"[3.35, 4.49, 3.1, 5.12, 4.07]"    ,                      20.13  ,"[3.92, 3.9, 3.92, 3.88, 3.94]"       ,                  4.62 ,     10.704281712685075 ,             0.04  ,8.513405362144859 ,        0.04 ,      3.561424569827931  ,                      11.95 ,                   0.72  ,                    0.0 ,             0.43  ,             0.01 ,              2.27 ,            0.21  ,                 1.3  ,                0.7  ,            5.9   ,           0.0 ,           0.0 ,                         0.0 ,                        0.0 ,                   0.0 ,                  0.0 ,                   0.0 ,                  0.0 ,                      0.0 ,                     0.0 ,                  0.0 ,              0.0 ,                 0.0 ,                       0.0 ,                      0.0 ,                 0.0 ,                0.0 ,                 0.0 ,                0.0 ,                    0.0 ,                   0.0 ,                0.0


